MSOA11CD,loneliness,ITEMS
E02000586,4.235632324615294,56615.0
E02000303,4.235122608426767,111711.0
E02000867,4.229693316390212,128917.0
E02005370,4.215148134267143,241892.0
E02005452,4.209964632235709,233177.0
E02000550,4.201994423671437,245007.0
E02003976,4.197715722383039,181151.0
E02004199,4.195546077466853,91141.0
E02000806,4.183924842086595,289994.0
E02005510,4.175986936358939,123285.0
E02004562,4.171321507521856,242159.0
E02000735,4.157318573340873,172407.0
E02003063,4.1571801728402775,342219.0
E02000700,4.152317267331284,162867.0
E02000944,4.151561316353152,131901.0
E02004664,4.1502589063656545,176784.0
E02005096,4.14932112614531,147747.0
E02000374,4.144231517055711,41277.0
E02003384,4.137253611005092,164655.0
E02000598,4.128632602696989,90035.0
E02004970,4.11894272821618,141151.0
E02003341,4.112572429538307,119805.0
E02004634,4.1102188476209385,306350.0
E02001794,4.1000363003150495,215223.0
E02003387,4.09327384633656,268704.0
E02000699,4.0914115600788445,438190.0
E02004373,4.087352829914234,55248.0
E02000698,4.0808001835673995,195650.0
E02000023,4.065141444742075,205473.0
E02006766,4.053135436574737,123120.0
E02003043,4.052528619639289,96845.0
E02005622,4.038379100297033,295558.0
E02003428,4.034228477570398,134232.0
E02001596,4.029492233639283,175435.0
E02004082,4.024423462574262,118827.0
E02004809,4.023623164293781,541376.0
E02000418,4.016113480756208,413408.0
E02003969,4.010674493341319,372407.0
E02002830,3.9989582683396083,220140.0
E02006592,3.9988537517004947,67270.0
E02000373,3.9970219193084957,283645.0
E02005947,3.989913425107714,382897.0
E02000827,3.9880012157914684,136722.0
E02000717,3.9759401811704933,227556.0
E02000938,3.964719568261742,126408.0
E02006220,3.9607331929374,103578.0
E02000166,3.9601514295275004,141390.0
E02003057,3.9581881766619604,157937.0
E02006335,3.943556704831993,112709.0
E02000617,3.9412786381497753,220623.0
E02004668,3.931440832775606,196246.0
E02000288,3.9268292804460954,380155.0
E02004530,3.9140545479446804,269779.0
E02004545,3.911201469254649,269058.0
E02000490,3.9055282673389176,191764.0
E02000407,3.9015748427047976,235162.0
E02004392,3.894534777046052,109327.0
E02004000,3.8873902015241275,144648.0
E02005297,3.8748809043515733,41713.0
E02000269,3.865539476979434,351333.0
E02003243,3.8646319615088665,280326.0
E02005689,3.8610001070809448,489808.0
E02004884,3.856610181424322,661745.0
E02004857,3.85511456583437,600477.0
E02003734,3.85380904209821,156321.0
E02002836,3.8447375219916253,251837.0
E02000890,3.833069496630695,124586.0
E02000645,3.8166366880109153,156683.0
E02000411,3.813298635608077,15162.0
E02003765,3.8130938746294385,320848.0
E02000360,3.8076798499332845,133658.0
E02000245,3.805270980014588,276452.0
E02005653,3.7977478773104054,496024.0
E02003375,3.7913220895242783,206546.0
E02000786,3.785806689274258,87096.0
E02000809,3.7838855822897486,47242.0
E02005664,3.78282687036768,258924.0
E02004462,3.7722786733427895,519155.0
E02005085,3.7693128830773945,137337.0
E02003060,3.7632640739931036,257284.0
E02000872,3.760608504697249,206764.0
E02002196,3.7601029286351055,52289.0
E02005894,3.757369171597585,141998.0
E02006373,3.744407168482509,180352.0
E02004867,3.743062192768156,41547.0
E02000362,3.732021040774197,193915.0
