PRACTICE_CODE,YEAR,POSTCODE,depression,alzheimers,blood pressure,insomnia,social anxiety,ITEMS,depression_perc,depression_perc_trim,depression_perc_trim_zscore,alzheimers_perc,alzheimers_perc_trim,alzheimers_perc_trim_zscore,blood pressure_perc,blood pressure_perc_trim,blood pressure_perc_trim_zscore,insomnia_perc,insomnia_perc_trim,insomnia_perc_trim_zscore,social anxiety_perc,social anxiety_perc_trim,social anxiety_perc_trim_zscore,loneliness_prac,laua,msoa11,lat,long
A81021,2019,TS66TD,27658,705,32875,2034,7113,382873,7.22380528269165,7.22380528269165,0.611477558504265,0.18413416459243664,0.18413416459243664,-0.2228815676194005,8.58639810067568,8.58639810067568,-0.294960748754149,0.5312466535900938,0.5312466535900938,0.23294643380044627,1.8577961882922014,1.8577961882922014,0.48364096176295057,0.8102226376941124,E06000003,E02006910,54.571137,-1.168042
A81022,2019,TS122TG,21995,287,24098,879,6167,250598,8.777005403075842,8.777005403075842,1.6451994497540783,0.1145260536795984,0.1145260536795984,-0.6996959038547281,9.616198054254223,9.616198054254223,0.367043366014582,0.35076097973647036,0.35076097973647036,-0.4579163302770982,2.460913494920151,2.460913494920151,1.554907028651617,2.4095376102884507,E06000003,E02002526,54.56313000000001,-0.981124
A81023,2019,TS12NX,11881,117,7674,658,2687,123725,9.602748029905031,9.602748029905031,2.1947669000066052,0.09456455849666599,0.09456455849666599,-0.8364317949900693,6.202465144473631,6.202465144473631,-1.8274656016184427,0.5318246110325319,0.5318246110325319,0.23515873834338616,2.1717518690644573,2.1717518690644573,1.041293782569373,0.8073220243108525,E06000002,E02002496,54.575047,-1.2353969999999999
A81025,2019,TS181HU,6611,313,8834,360,1716,98852,6.687775664629952,6.687775664629952,0.25472665224526175,0.3166349694492777,0.3166349694492777,0.6847466166531451,8.936592077044471,8.936592077044471,-0.06983949824548719,0.3641807955327156,0.3641807955327156,-0.40654798155195454,1.7359284587059443,1.7359284587059443,0.26717766031261353,0.7302634494135787,E06000004,E02002548,54.561625,-1.318986
A81026,2019,TS56HA,37819,625,30357,1489,14038,427896,8.838362592779553,8.838362592779553,1.6860353145920268,0.1460635294557556,0.1460635294557556,-0.4836647491294437,7.094480901901397,7.094480901901397,-1.2540356846683753,0.34798175257539216,0.34798175257539216,-0.46855465141088015,3.2807037223998354,3.2807037223998354,3.0110308092409173,2.490811038624245,E06000002,E02002500,54.563331000000005,-1.241601
A81027,2019,TS159DD,19485,1077,24348,355,5322,264668,7.3620535916695635,7.3620535916695635,0.7034877905041104,0.4069249021415509,0.4069249021415509,1.3032310685485118,9.199449876826817,9.199449876826817,0.09913792737030844,0.13413030664832923,0.13413030664832923,-1.2871348626855499,2.0108211041757977,2.0108211041757977,0.7554461279770158,1.5741680517143966,E06000004,E02002558,54.50530500000001,-1.3555190000000001
A81029,2019,TS12NX,13622,282,12816,411,2137,160558,8.484161486814733,8.484161486814733,1.450299151340789,0.17563746434310343,0.17563746434310343,-0.28108381497889817,7.982162209295083,7.982162209295083,-0.683392157198953,0.2559822618617571,0.2559822618617571,-0.820710149911529,1.3309831961035887,1.3309831961035887,-0.4520922296506471,-0.7869792003992382,E06000002,E02002496,54.575047,-1.2353969999999999
A81030,2019,TS13RY,18875,626,20902,1160,5276,270108,6.987945562515734,6.987945562515734,0.45450270844464036,0.23175914819257482,0.23175914819257482,0.10334873292636564,7.738386127030669,7.738386127030669,-0.8401029523203226,0.4294578464910332,0.4294578464910332,-0.15668059378095203,1.9532927569712855,1.9532927569712855,0.6532634090148479,0.21433130428457925,E06000002,E02002496,54.571966,-1.227209
A81031,2019,TS247PW,22249,458,19891,133,5776,269111,8.26759218315119,8.26759218315119,1.3061629082181991,0.17018999594962672,0.17018999594962672,-0.3183988777228213,7.391373819724946,7.391373819724946,-1.063178875477527,0.049421985723363225,0.049421985723363225,-1.6113812335196793,2.146326237128917,2.146326237128917,0.9961323912074977,-0.6906636872943308,E06000001,E02002489,54.682342000000006,-1.214164
A81032,2019,TS147DJ,21282,566,23341,1193,6068,279971,7.601501584092638,7.601501584092638,0.8628507910183812,0.20216379553596622,0.20216379553596622,-0.0993789125671511,8.3369348968286,8.3369348968286,-0.4553274946024844,0.4261155619689182,0.4261155619689182,-0.16947418495071237,2.1673673344739277,2.1673673344739277,1.0335059060247669,1.1721761049228,E06000003,E02002532,54.532596999999996,-1.055444
A81034,2019,TS170EE,34290,951,37530,536,10493,454170,7.550036330008587,7.550036330008587,0.8285984373858963,0.2093929585837902,0.2093929585837902,-0.049859272758201734,8.263425589536958,8.263425589536958,-0.5025827539679187,0.11801748244049586,0.11801748244049586,-1.3488115045576763,2.310368364268886,2.310368364268886,1.2875064944110906,0.2148514005131903,E06000004,E02002554,54.538149,-1.2921280000000002
A81035,2019,TS13RX,15889,297,16811,712,4574,213313,7.448678702188802,7.448678702188802,0.7611405500554822,0.13923202055195885,0.13923202055195885,-0.5304604650414639,7.880907398986466,7.880907398986466,-0.7484835381331818,0.33378181357910675,0.33378181357910675,-0.5229091544317818,2.144266875436565,2.144266875436565,0.9924745218739154,-0.04823808567702981,E06000002,E02002496,54.571931000000006,-1.226035
A81036,2019,TS202UZ,32566,1058,37649,915,9659,421483,7.726527523055497,7.726527523055497,0.946060963605801,0.2510184277894957,0.2510184277894957,0.23527445964053098,8.932507360913727,8.932507360913727,-0.07246534696185047,0.21709060626407234,0.21709060626407234,-0.9695795649298057,2.2916701266717756,2.2916701266717756,1.2542944024543878,1.3935849138090637,E06000004,E02002541,54.588737,-1.308737
A81037,2019,TS12NX,11954,185,13193,1050,3073,167706,7.1279501031567145,7.1279501031567145,0.5476817886131101,0.11031209378316817,0.11031209378316817,-0.7285614550755426,7.866742990709933,7.866742990709933,-0.7575890896820475,0.6260956674179815,0.6260956674179815,0.5960093321682558,1.8323733199766257,1.8323733199766257,0.4384844791845858,0.09602505520836158,E06000002,E02002496,54.575047,-1.2353969999999999
A81038,2019,TS36AL,6025,170,7821,641,2135,96166,6.265208077698979,6.265208077698979,-0.02651036248990732,0.17677765530436954,0.17677765530436954,-0.27327352693562146,8.132812012561612,8.132812012561612,-0.5865473386446519,0.6665557473535345,0.6665557473535345,0.7508823592747969,2.2201193769107586,2.2201193769107586,1.1272048803380814,0.9917560115426975,E06000002,E02002497,54.57171700000001,-1.216402
A81039,2019,TS169EA,14379,511,20712,245,4751,204201,7.0415913732058115,7.0415913732058115,0.4902063168569672,0.2502436324993511,0.2502436324993511,0.2299671255217939,10.142947390071548,10.142947390071548,0.7056627518001427,0.11997982380105876,0.11997982380105876,-1.3413000575409912,2.32662915460747,2.32662915460747,1.3163891557426146,1.4009252923805273,E06000004,E02002555,54.520013,-1.348119
A81040,2019,TS232DG,16312,387,13552,654,4744,183150,8.906360906360906,8.906360906360906,1.7312911347497837,0.2113022113022113,0.2113022113022113,-0.036780925196386934,7.3993993993994,7.3993993993994,-1.058019653291286,0.3570843570843571,0.3570843570843571,-0.43371171691587734,2.59022659022659,2.59022659022659,1.7845949011165063,1.9873737404627398,E06000004,E02002536,54.611726000000004,-1.292215
